genre_a,genre_b,t,composition,n_events,entropy,unique_pitches,scale_conf_a,scale_conf_b,center_dist_a,center_dist_b
electronic,hiphop,0.7368,2,26,3.6714,15,0.5,0.3846,0.3814,0.3686
electronic,hiphop,0.7368,3,28,3.4992,13,0.4286,0.4643,0.8006,1.5506
electronic,hiphop,0.7368,4,23,3.9149,17,0.4783,0.3043,1.0688,1.8188
electronic,hiphop,0.7895,0,23,4.0888,18,0.4783,0.3478,1.0797,1.8297
electronic,hiphop,0.7895,1,20,3.4842,12,0.45,0.5,0.9625,0.2125
electronic,hiphop,0.7895,2,24,4.0535,18,0.5,0.3333,0.8229,1.5729
electronic,hiphop,0.7895,3,22,3.1358,11,0.1364,0.1818,0.9773,0.2273
electronic,hiphop,0.7895,4,26,3.5654,14,0.4615,0.5,0.1891,0.5609
electronic,hiphop,0.8421,0,15,2.6062,7,0.4,0.4667,0.0556,0.8056
electronic,hiphop,0.8421,1,23,3.654,14,0.5217,0.4348,0.442,0.308
electronic,hiphop,0.8421,2,22,3.7888,15,0.4545,0.3636,0.1591,0.5909
electronic,hiphop,0.8421,3,20,3.5842,13,0.25,0.4,1.2667,2.0167
electronic,hiphop,0.8421,4,10,3.1219,9,0.6,0.2,1.0,0.25
electronic,hiphop,0.8947,0,20,3.2842,12,0.4,0.45,0.7417,1.4917
electronic,hiphop,0.8947,1,16,3.4528,12,0.4375,0.5625,0.1562,0.5938
electronic,hiphop,0.8947,2,20,3.0332,9,0.4,0.5,0.0667,0.8167
electronic,hiphop,0.8947,3,27,3.4542,13,0.4815,0.6296,1.1821,0.4321
electronic,hiphop,0.8947,4,13,2.4997,7,0.2308,0.7692,0.2885,0.4615
electronic,hiphop,0.9474,0,20,3.4842,12,0.35,0.5,0.5083,0.2417
electronic,hiphop,0.9474,1,25,3.4937,13,0.44,0.6,0.03,0.72
electronic,hiphop,0.9474,2,19,3.2608,11,0.7368,0.4737,0.7105,0.0395
electronic,hiphop,0.9474,3,19,3.7871,15,0.5789,0.5263,0.1842,0.5658
electronic,hiphop,0.9474,4,22,3.516,12,0.4091,0.2727,0.1818,0.5682
electronic,hiphop,1.0,0,18,3.281,11,0.1667,0.5556,0.287,0.463
electronic,hiphop,1.0,1,19,3.1158,11,0.5789,0.5789,0.8596,0.1096
electronic,hiphop,1.0,2,19,3.4714,12,0.4737,0.5789,0.7105,1.4605
electronic,hiphop,1.0,3,15,3.3736,11,0.2667,0.4,0.2278,0.5222
electronic,hiphop,1.0,4,25,3.3533,11,0.44,0.44,0.14,0.61
classical,math,0.0,0,19,2.6873,9,0.6842,0.5263,0.5702,0.4035
classical,math,0.0,1,24,3.3554,12,0.6667,0.4583,0.316,0.4826
classical,math,0.0,2,21,3.5538,14,0.8095,0.381,1.0357,1.2024
classical,math,0.0,3,19,3.3264,11,0.4211,0.4737,0.9035,1.0702
classical,math,0.0,4,30,3.9232,17,0.5333,0.4333,0.0194,0.1472
classical,math,0.0526,0,13,3.3927,11,0.6923,0.4615,0.5128,0.6795
classical,math,0.0526,1,24,3.0069,10,0.5417,0.375,0.0312,0.1979
classical,math,0.0526,2,24,3.7721,15,0.625,0.2083,2.1215,2.2882
classical,math,0.0526,3,31,4.1958,20,0.7419,0.5484,1.4167,1.5833
classical,math,0.0526,4,19,3.3264,11,0.6842,0.3684,0.636,0.8026
classical,math,0.1053,0,30,3.4179,13,0.5667,0.4667,0.4667,0.3
classical,math,0.1053,1,20,3.5842,13,0.55,0.4,0.4458,0.6125
classical,math,0.1053,2,22,3.106,11,0.5,0.3636,1.6856,1.8523
classical,math,0.1053,3,24,3.2679,11,0.625,0.5,0.2708,0.4375
classical,math,0.1053,4,25,3.5933,13,0.64,0.52,1.0733,1.24
classical,math,0.1579,0,26,3.4557,13,0.5,0.4615,0.141,0.3077
classical,math,0.1579,1,21,3.1416,10,0.5714,0.3333,0.8651,1.0317
